symbol,sector,industry,source
WOCKPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
WONDERLA,Consumer Cyclical,Leisure,yahoo
WSTCSTPAPR,Basic Materials,Paper & Paper Products,yahoo
XPROINDIA,Basic Materials,Specialty Chemicals,yahoo
XTRANET,Technology,Information Technology Services,yahoo
YASHO,Basic Materials,Specialty Chemicals,yahoo
YATHARTH,Healthcare,Medical Care Facilities,yahoo
YATRA,Consumer Cyclical,Travel Services,yahoo
YESBANK,Financial Services,Banks - Regional,yahoo
ZAGGLE,Technology,Software - Infrastructure,yahoo
ZEEL,Communication Services,Broadcasting,yahoo
ZENSARTECH,Technology,Information Technology Services,yahoo
ZENTEC,Industrials,Aerospace & Defense,yahoo
ZFCVINDIA,Consumer Cyclical,Auto Parts,yahoo
ZOTA,Healthcare,Biotechnology,yahoo
ZYDUSLIFE,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
TATSILV,Etf,Commodity ETF,manual
ARTEMISMED,Healthcare,Health Care Providers & Services,manual
